
$./output addresses.txt process.txt
Logical Address: 275, Physical Address: 3, Data: v 
Logical Address: 152, Physical Address: 17, Data: g 
Logical Address: 380, Physical Address: 58, Data: s 
Logical Address: 428, Physical Address: 90, Data: k 
Logical Address: 276, Physical Address: 4, Data: r 
Logical Address: 97, Physical Address: 25, Data: r 
Logical Address: 426, Physical Address: 88, Data: l 
Logical Address: 2, Physical Address: 2, Data: r 
Logical Address: 243, Physical Address: 93, Data: i 
Logical Address: 407, Physical Address: 182, Data: u 
Logical Address: 442, Physical Address: 10, Data: n 
Logical Address: 413, Physical Address: 188, Data: d 
Logical Address: 38, Physical Address: 8, Data: y 
Logical Address: 286, Physical Address: 48, Data: r 
Logical Address: 102, Physical Address: 30, Data: c 
Logical Address: 75, Physical Address: 23, Data: g 
Logical Address: 210, Physical Address: 54, Data: v 
Logical Address: 113, Physical Address: 36, Data: m 
Logical Address: 387, Physical Address: 147, Data: j 
Logical Address: 429, Physical Address: 13, Data: v 
Logical Address: 405, Physical Address: 180, Data: z 
Logical Address: 431, Physical Address: 15, Data: l 
Logical Address: 471, Physical Address: 210, Data: b 
Logical Address: 66, Physical Address: 14, Data: f 
Logical Address: 49, Physical Address: 4, Data: d 
Logical Address: 134, Physical Address: 22, Data: v 
Logical Address: 179, Physical Address: 36, Data: u 
Logical Address: 85, Physical Address: 25, Data: o 
Logical Address: 353, Physical Address: 111, Data: m 
Logical Address: 171, Physical Address: 71, Data: w 
Logical Address: 212, Physical Address: 4, Data: y 
Logical Address: 273, Physical Address: 120, Data: a 
Logical Address: 391, Physical Address: 31, Data: s 
Logical Address: 312, Physical Address: 46, Data: v 
Logical Address: 499, Physical Address: 96, Data: b 
Logical Address: 301, Physical Address: 85, Data: x 
Logical Address: 488, Physical Address: 158, Data: o 
Logical Address: 504, Physical Address: 101, Data: b 
Logical Address: 92, Physical Address: 42, Data: i 
Logical Address: 325, Physical Address: 5, Data: p 
Logical Address: 443, Physical Address: 200, Data: q 
Logical Address: 225, Physical Address: 15, Data: e 
Logical Address: 139, Physical Address: 27, Data: m 
Logical Address: 348, Physical Address: 75, Data: c 
Logical Address: 155, Physical Address: 47, Data: q 
Logical Address: 92, Physical Address: 42, Data: i 
Logical Address: 262, Physical Address: 86, Data: p 
Logical Address: 492, Physical Address: 12, Data: n 
Logical Address: 126, Physical Address: 56, Data: m 
Logical Address: 174, Physical Address: 84, Data: x 
Logical Address: 433, Physical Address: 28, Data: w 
Logical Address: 472, Physical Address: 66, Data: e 
Logical Address: 276, Physical Address: 55, Data: r 
